,text,size
32,biden,1583
38,trump,794
134,joe,711
22,president,242
218,hunter,206
53,debate,181
448,vote,133
331,like,128
247,bidens,109
17,im,100
607,said,95
94,trumps,92
14,last,90
392,family,89
47,says,86
35,people,86
217,amp,85
117,get,81
483,know,78
510,hes,75
423,donald,74
40,stahl,73
105,time,73
7,one,72
224,say,68
113,would,67
93,years,66
335,china,64
434,going,63
373,it,62
83,election,61
393,campaign,60
152,us,60
37,minutes,59
284,interview,59
45,never,58
36,60,58
377,fact,57
409,see,56
626,business,56
207,bobulinski,54
6,new,54
418,dont,53
1245,media,53
475,man,53
44,plan,52
62,its,52
1916,oil,51
1034,cant,51
21,american,51
