,text,size
12,trump,2638
61,biden,663
52,president,339
98,debate,306
564,donald,300
121,joe,249
107,people,177
202,vote,163
170,like,158
271,last,132
111,stahl,131
981,said,128
109,minutes,127
506,know,125
7,one,124
118,says,118
47,im,116
27,hunter,115
108,60,112
249,trumps,112
294,bidens,112
234,us,106
805,interview,103
172,get,103
331,dont,101
255,hes,99
306,time,95
162,election,93
199,would,92
59,its,90
777,good,88
273,years,85
115,plan,85
1683,night,84
6,new,82
148,tonight,82
116,never,80
596,amp,80
114,care,79
437,going,76
521,see,76
508,i,76
613,cant,74
1324,thats,72
221,say,72
258,campaign,70
745,family,70
247,china,69
137,this,69
171,administration,69
