,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,token,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2020-10-20 23:59:54+00:00,,en,,,57661,2650,,,1591307413,2013-07-13 15:50:16+00:00,False,False,,1,72,False,,121,True,Emhellz,,seeinhearts,False,C0DEED,http://pbs.twimg.com/profile_images/464560939790921728/S-Bic3mQ_normal.jpeg,,1318703522356076544,0,False,Twitter for iPhone,False,0,"['Seriously', 'WHY', 'hate', 'America']",Seriously,WHY,hate,America,,,,,,,,,,,,,,,,,,,,
1,2020-10-20 23:59:54+00:00,,en,,,186,152,eh. meh. neh. 3 moods.,,1159538512972210176,2019-08-08 18:54:59+00:00,False,False,,0,1,False,,51,True,Simoan©,,simoan_ann,False,F5F8FA,http://pbs.twimg.com/profile_images/1159557992750243840/G8AUaPNY_normal.jpg,,1318703522528088064,1,False,Twitter for Android,False,0,"['HOW', 'BIDEN', 'WANTS', 'TO', 'SHOW', 'US', 'AFTER', 'HE', 'US', 'ELECTED', 'F', 'THAT']",HOW,BIDEN,WANTS,TO,SHOW,US,AFTER,HE,US,ELECTED,F,THAT,,,,,,,,,,,,
2,2020-10-20 23:59:54+00:00,,en,,,90334,43038,I still have it,"Albany, NY",104669561,2010-01-14 01:23:12+00:00,False,False,,3,245,True,,840,True,Bernie Mulligan,,berniealbany,False,C0DEED,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1318703522616061952,0,False,Twitter for iPhone,False,2528,"['Did', 'walk', 'interview']",Did,walk,interview,,,,,,,,,,,,,,,,,,,,,
3,2020-10-20 23:59:54+00:00,,en,,,136141,73557,"I love people,animals & Philly sports! I have a wonderful Son & daughter in law, & a beautiful granddaughter. Former teacher for 22 years! Cancer Survivor! 💚","Philadelphia, PA",1290303132900175872,2020-08-03 15:07:13+00:00,False,False,,0,1609,False,,2913,True,Flossie Mc 🌞😷🦅🌊🌊🍂🍁🌻💉😷🦃,,flossie_mc,False,F5F8FA,http://pbs.twimg.com/profile_images/1460785201630654465/YV9Xlxm9_normal.jpg,,1318703522599346178,0,False,Twitter for iPad,False,300,"['There', 'people', 'quite', 'intentionally', 'want', 'vote', 'Why', 'that', 'Because', 'content', 'with']",There,people,quite,intentionally,want,vote,Why,that,Because,content,with,,,,,,,,,,,,,
4,2020-10-20 23:59:54+00:00,,en,,,100435,60049,Utahn. Proud Soccer/Dance Mom and Suburban Housewife. Armchair commentator. Activist. I call 'em like I see 'em.,"Provo, UT",825255241083817984,2017-01-28 08:12:36+00:00,False,False,,2,220,False,,123,True,Trinity Michaels 🇺🇸,,RevolutionIn801,False,F5F8FA,http://pbs.twimg.com/profile_images/826295493214875648/5EZPx_le_normal.jpg,,1318703522561499137,0,False,Twitter Web App,False,4,"['What', 'joke']",What,joke,,,,,,,,,,,,,,,,,,,,,,
6,2020-10-20 23:59:54+00:00,,en,,,79984,56641,#PresidentTrump 🇺🇸♥️ We Love our Gov! #RonDeSantis writer animal rescuer researcher 🐾🐾,Sunshine State ☀️,902253935100125184,2017-08-28 19:37:55+00:00,False,False,,11,2304,False,,2329,True,Lisa,,f2021_lisa,False,F5F8FA,http://pbs.twimg.com/profile_images/1309238686350028801/j9DjWXSu_normal.jpg,,1318703522603479041,3,False,Twitter for iPhone,False,3,"['Breaking', 'Underage', 'girls', 'Hunter', 'emails', 'videos']",Breaking,Underage,girls,Hunter,emails,videos,,,,,,,,,,,,,,,,,,
7,2020-10-20 23:59:54+00:00,,en,,,13078,10059,"ANTICHAIRO, ANTICACAS 💯 TWITTS FUERTES ANTICUARTA Cancún, Mexico.","Quintana Roo, México",1272346603744038914,2020-06-15 01:54:20+00:00,False,False,,0,1168,False,,1326,True,paparrin29005,,JEliasGlzC1,False,F5F8FA,http://pbs.twimg.com/profile_images/1344058698445058050/1C3U7sax_normal.jpg,,1318703522729295874,0,False,Twitter for Android,False,61164,"['Listening', 'scientists', 'bad', 'thing', 'I', 'cant', 'believe', 'said']",Listening,scientists,bad,thing,I,cant,believe,said,,,,,,,,,,,,,,,,
8,2020-10-20 23:59:54+00:00,,en,,,152715,346247,"Art - sculpture & 🎨. Cycling🚴‍♂️ & coffee☕, sometimes wine🍷. Vegan. Gardening for food & homeopathy.  Doxies🐕. FB: Ambode33 #Resist #BidenHarris2020",Deep Space 9 ,1060660339,2013-01-04 14:57:23+00:00,False,False,https://t.co/fyGJSSjhqu,85,3780,False,,2937,False,Ambode,,AmBoDe33,True,642D8B,http://pbs.twimg.com/profile_images/672072079697670149/TsKCBYhE_normal.jpg,,1318703522687389697,0,False,Twitter for Android,False,2547,"['Donald', 'Trumps', 'day', 'far', '', 'Bails', 'middle', '60', 'Minutes', 'interview', '', 'Starts', 'attacking', 'Lesley', 'Stahl', 'Twitter']",Donald,Trumps,day,far,,Bails,middle,60,Minutes,interview,,Starts,attacking,Lesley,Stahl,Twitter,,,,,,,,
9,2020-10-20 23:59:54+00:00,,en,,,209963,143572,"🇺🇸Proud to be a Constitutional Conservative Christian. Wife. Mother .Small Business owner.  Love our amazing USA .Pro- Trump, Military & Police.🇺🇸",,950464807144058880,2018-01-08 20:30:43+00:00,False,False,,1,2642,False,,2434,True,Sandy Scherer,,scherer_sandy,True,F5F8FA,http://pbs.twimg.com/profile_images/1043952381522837505/qh0hxi-g_normal.jpg,,1318703522649501696,0,False,Twitter for Android,False,20310,"['Wonder', 'never', 'hear', 'administrations', 'work', 'combat', 'human', 'trafficking', 'Today', 'Trump', 'Admin']",Wonder,never,hear,administrations,work,combat,human,trafficking,Today,Trump,Admin,,,,,,,,,,,,,
10,2020-10-20 23:59:54+00:00,,en,,,84141,10459,The only thing that I know is that I know nothing. BSU ‘25,United States,304089226,2011-05-23 22:31:03+00:00,False,False,,2,459,False,,3462,False,Marcus Prouty,,Marcus_Prouty,False,C0DEED,http://pbs.twimg.com/profile_images/1451236974623268864/OY0_zU9t_normal.jpg,,1318703522741915648,0,False,Twitter for iPhone,False,232,"['Since', '1965', 'Head', 'Start', 'programs', 'helped', '37m', 'children', 'need', 'most', 'Its', 'shamefulespecially', 'HeadStar']",Since,1965,Head,Start,programs,helped,37m,children,need,most,Its,shamefulespecially,HeadStar,,,,,,,,,,,
